prices,market_caps,total_volumes
29190.04784447575,568101099288.7295,9565490278.199833
29209.99299216049,567588658707.7596,10460105045.531773
29235.17144779412,568350577005.32,9352227875.98524
29311.583999490365,568350577005.32,10687029788.115004
29222.68954592769,568172468658.8383,6102109246.2242155
29227.43891723346,568172468658.8383,9036862671.295492
29202.17169134559,567821636979.4067,9722744976.871666
29202.022129747267,567821636979.4067,8254857324.69326
29211.21559682498,567773635231.7802,6140480783.308358
29205.837987533127,567773635231.7802,6158399533.332216
29203.96399328687,567780773105.6755,6459589814.290818
29200.962573823388,567780773105.6755,8678686390.119322
29194.386741419323,567780773105.6755,10495135234.597347
29186.280700624575,567565153201.2589,10457525554.32986
29183.269278730553,567565153201.2589,7497571887.777304
29188.02076749684,567349019720.8728,7969360196.31116
29186.108537054257,567386256358.747,10056154900.481358
29189.51954392381,567386256358.747,9146142441.32721
29185.853013607106,567395108738.3197,9694250129.78396
29197.065993693835,567395108738.3197,9384446712.200722
29198.886893698935,567671784580.2063,10174579163.570894
29210.928856937404,567671784580.2063,10184867541.267769
29200.801310149014,567708714251.7643,10093875460.041603
29200.244001291314,567708714251.7643,9047649539.81237
29201.236356821602,567698841511.5875,7520955664.491805
29210.173640404082,567698841511.5875,10120176239.673315
29206.326866781343,567698841511.5875,9668314300.391249
29234.40410803078,568343791312.319,10152894780.224085
29224.50184074228,568343791312.319,6147598388.057607
29235.579823325832,568343791312.319,8083934665.446261
29232.008706983233,568343791312.319,7080195768.438417
29234.15165586507,568335120801.3093,10011876567.049507
29237.900292222148,568335120801.3093,8220854535.324003
29242.36638239819,568415644779.7478,9722612653.661766
29241.15693386032,568568872936.8624,9206877775.55564
29255.648511548967,568568872936.8624,10121218489.534702
29271.258206136354,568568872936.8624,6216642298.460052
29262.79613330178,568973390813.8315,9671310189.976683
29253.79798240328,568843173697.2207,7830469673.222173
29257.041599501237,568843173697.2207,8882487146.48791
29280.356951728718,569050338694.9614,10056844926.95578
29275.078525861143,569050338694.9614,8180997284.636947
29274.395526299933,569050338694.9614,6599426835.755838
29272.970403023828,569122173387.5797,8611802313.216192
29272.87197604651,569126780644.7732,9194649398.847998
29271.38184864745,569126780644.7732,9623259337.475597
29274.453273409472,569123182365.6898,7946803562.36079
29276.093243553125,569123182365.6898,8836701190.766886
29274.396774647637,569139496904.4622,9067976107.365635
29248.709340076526,569080294322.0721,8603538601.980124
29247.34520387864,569080294322.0721,10077137897.15845
29246.09408243824,568599190326.8027,7245401255.535663
29245.275953203945,568599190326.8027,7558123208.825031
29244.352701721207,568592332577.6246,4145614202.0256133
29237.799448795413,568592332577.6246,6974484124.267801
29216.499487460926,568523652161.0328,8629701228.580956
29211.439578005033,568523652161.0328,7701296489.824644
29203.463160768722,567759482197.779,8537015576.816512
29198.523672903088,567759482197.779,9948847502.242577
29204.292082930464,567777522233.3276,10118854982.015911
29193.96481135078,567777522233.3276,9816460393.641579
29213.052668204466,567777522233.3276,9453960696.195154
29211.73737205196,568139499719.2224,8645578651.802073
29209.226751971204,567856850522.11,9821247334.789795
29216.643763857635,567856850522.11,9701732588.243095
29211.96981138458,568096121738.686,10083239205.90269
29219.126187612277,568096121738.686,9689013768.79253
29225.451198873,568144623663.0636,9525173339.637217
29259.973836148096,568144623663.0636,10173487902.496117
29261.890821215828,569014602705.3873,9748919556.417673
29255.72446074245,569014602705.3873,9919486026.33427
29242.814928290663,568487451380.9393,9350503697.80034
29225.130187030347,568487451380.9393,10250051730.873117
29248.185289442652,568654981315.531,9514697917.643839
29234.924387514,568654981315.531,10052840099.350906
29231.88254907847,568349889249.4501,8449371848.506883
29229.966942325613,568349889249.4501,6859173147.143246
29231.901189820677,568304623643.5227,8253145150.932895
29220.828843953714,568304623643.5227,10188982946.864912
29223.58881660499,568304623643.5227,8404259631.670307
29240.28330538499,568056084483.7515,8546364268.49762
29232.13768107528,568315667780.6165,10204613269.718906
29234.466611540982,568315667780.6165,10148044223.220407
29242.801470401188,568459732127.3855,10033262339.745903
29242.766569122738,568459732127.3855,10203995330.417795
29259.34141509108,568459954960.9021,7347577267.003435
29245.556442880566,568459954960.9021,10212013495.740192
29235.822842122383,568459954960.9021,10116956669.753502
29227.770400659945,568336592768.0438,10139188480.49801
29227.526340453664,568336592768.0438,7761054142.910814
29228.35492700202,568336592768.0438,8759020985.759317
29221.43810410038,568168118523.0549,9108787412.327951
29207.597561955572,568025812508.363,8352279272.960939
29189.077457744817,567670797839.4895,8984056063.961304
29180.203825251996,567670797839.4895,7657675563.406127
29186.94060002215,567425501225.5756,6640790777.54172
29159.651230218005,567425501225.5756,8268488857.3561
29172.589866912043,567136706338.7833,7116174506.050339
29151.203070993146,567136706338.7833,10017209828.657734
29174.564928944845,567124391004.9823,9819217723.438604
29193.566459931346,567124391004.9823,10252894517.008698
29192.38883945613,567603087731.0028,9024329420.113802
29185.184826790795,567603087731.0028,9311110503.836231
29191.167703378876,567603087731.0028,9978684940.957714
29194.91100805994,567505366991.6091,8436843846.356617
29176.632573725834,567277857779.4005,10011377844.90264
29187.76134515165,567277857779.4005,9929540302.710018
29182.43055827084,567277857779.4005,9820487597.333986
29177.057442352412,567344226757.8862,9660731684.842278
29179.272886554256,567281171565.4678,9213782059.582758
29179.916930964286,567281171565.4678,9032079256.183098
