DateTime,BTC,ETH,USDT,BNB,XRP,기타,Dominance
2018-10-07 00:00:00,113864595747.66504,23005131145.96103,2802930021.183628,1221638211.0116243,19739112062.76932,56871165122.64936,0.5235043775757023
2018-10-14 00:00:00,108884479632.01904,20566737820.70247,2681730653.543228,1118134425.0420628,16829954399.692688,52038993725.7905,0.5387119687158092
2018-10-21 00:00:00,112249390033.41064,21107328771.53108,2038673104.6760435,1274419767.3989248,18346584757.288605,54328907090.19471,0.5361925399977933
2018-10-28 00:00:00,112423673699.11131,20945490878.90479,1910067857.7109704,1265973750.3059006,18358238299.978657,54151304307.76836,0.537771441920272
2018-11-04 00:00:00,110259596466.10107,20573363430.5016,1779805755.8692722,1244479061.5436745,18340360892.058662,54375939578.11572,0.5337546798056295
2018-11-11 00:00:00,111646552168.25,21931358942.175087,1764255674.5855308,1255440584.4143343,20405170093.2244,56481010307.670654,0.5229743828995893
2018-11-18 00:00:00,96324092610.8672,17921520659.374893,1683709134.6679492,1002227223.1530142,19269068462.90357,45923278666.78339,0.5288932113010495
2018-11-25 00:00:00,74986053598.48926,12739561657.123943,1778528561.4242346,704682843.863852,16331214147.609991,32674313679.38872,0.5386373687851763
2018-12-02 00:00:00,73167550806.61026,12273147507.215824,1856716054.3741808,694256489.1660903,15028221833.28128,33204643953.86236,0.5371099260740925
2018-12-09 00:00:00,59075928575.48949,9207845805.280962,1876925219.889428,578798507.0872052,12269685811.16057,24692326355.012352,0.5485153218858321
2018-12-16 00:00:00,55880530245.14687,8683449661.476665,1864014623.0425203,589980552.733756,11665349667.046225,22398289605.29397,0.5528258586080494
2018-12-23 00:00:00,67852959079.9219,11660769182.624468,1889728290.747344,752864845.5615405,14441747740.595,31115156777.57975,0.5312915603901757
2018-12-30 00:00:00,68287076558.44423,14297673384.162058,1908235960.7717152,784346535.397037,15244817571.58027,31119934818.41469,0.5187328706261897
2019-01-06 00:00:00,67439828781.75694,16431227630.78788,1901634879.972702,803367587.5409836,14591037947.49496,31323908791.546528,0.5090143928384129
2019-01-13 00:00:00,64022247795.30676,13291043616.321342,1965028790.3090456,786962699.8099023,13557875694.629274,28774136489.18367,0.5230691393184217
2019-01-20 00:00:00,65483505845.93767,13054158908.50544,2047018870.5480304,845233676.812446,13593926868.361776,29672050282.45464,0.5251456443966491
2019-01-27 00:00:00,63419060894.5604,12267333782.176258,2038890334.5447628,885005246.0945823,13078575224.74706,29271744168.816936,0.5242951492851339
2019-02-03 00:00:00,61118507761.85174,11338400863.44064,2032141806.48114,872605400.2991858,12663753354.399,26567547649.328297,0.5333530912325469
2019-02-10 00:00:00,64349886518.76959,12570405536.1982,2028574020.5780203,1228728438.5412295,12807932732.23794,28771353171.26502,0.5285112947873546
2019-02-17 00:00:00,63823996458.69673,12971630519.574936,2021003161.3315785,1285628530.855717,12450806256.1727,28680495458.978336,0.5264548550392357
2019-02-24 00:00:00,69924338149.61368,15616285792.618408,2036457307.0529296,1490539025.7228618,13206498240.659515,32688469309.4626,0.5181016404354525
2019-03-03 00:00:00,67876020799.48124,14130630331.50059,2044948597.5242064,1598954435.5065727,13090714612.638712,31619475077.358685,0.5206783790333006
2019-03-10 00:00:00,69877703207.87117,14603552705.767864,2006775289.274725,2043399331.1958203,13078373502.177423,33910678244.41299,0.515624664492673
2019-03-17 00:00:00,71167912293.55229,14957266159.6912,2026573564.118571,2250758642.440998,13229923492.835428,36756940427.8215,0.5069323266538559
2019-03-24 00:00:00,70824232236.67824,14486589994.951914,2034861718.2444944,2134497639.6185093,12971203124.8399,37540314437.88694,0.5059173698553905
2019-03-31 00:00:00,72154799634.80696,14982418923.274298,2032828983.43309,2339481517.1003075,13047731739.188828,39220055826.59652,0.5018510661407197
2019-04-07 00:00:00,88864120924.69447,17471339208.170155,2075769394.8111928,2721321818.0825205,14897936594.92511,50507134552.92655,0.5033721405640377
2019-04-14 00:00:00,90060407831.80257,17407300702.854614,2432508951.5483994,2617663802.763776,13712066912.266714,46955589748.15393,0.520022681444226
2019-04-21 00:00:00,94142692979.04832,18303240163.271305,2582022152.04674,3513231073.9279323,13834751584.354362,48256317873.891335,0.5211842843254583
2019-04-28 00:00:00,92993875022.51114,16580308933.145792,2830124434.8779407,3169497897.245282,12448625073.5739,42662006585.015945,0.5448292541569041
2019-05-05 00:00:00,100195134500.996,17230902413.29109,2784624078.626815,3209894389.774116,12718221593.490376,44591672132.4516,0.5543898938732379
2019-05-12 00:00:00,119972781896.11893,20114479241.501797,2782154988.167211,2904886863.227638,13640167953.673874,47745934670.240585,0.5791298850818177
2019-05-19 00:00:00,130330303260.33543,25238363800.783463,2847958706.960521,3779491824.499057,15818750766.630386,53174671266.29114,0.5637378900077196
2019-05-26 00:00:00,142829447823.84674,26807811605.176582,3045303707.213145,4934975523.28341,16344806874.806711,57274058753.4834,0.568506177393882
2019-06-02 00:00:00,150828986901.89685,28098367163.636887,3138084575.480277,4640641612.156233,17992567031.513794,64436504308.605965,0.5604209855493929
2019-06-09 00:00:00,141119256978.36224,26428334885.07454,3261968140.932036,4491417237.08915,17629363503.687466,61512586718.54456,0.5546204737740275
2019-06-16 00:00:00,154541189536.2336,28249688826.23185,3450792057.895168,4645281588.820098,17455349286.250393,65359767761.28887,0.5646328873904407
2019-06-23 00:00:00,191189306358.20624,32755045038.711662,3580518516.647616,5430714299.602167,20522844317.716755,71492192702.23555,0.5883279714108532
2019-06-30 00:00:00,212666970753.65643,32623425432.860065,3590623154.8050275,4810828862.622714,17744452804.818737,68559923632.05703,0.6254980359806136
2019-07-07 00:00:00,203106959021.8062,31345266769.57582,3687350803.376544,4675188376.341936,17254123040.9889,66025126414.4706,0.6228478599307383
2019-07-14 00:00:00,202323211016.652,28846262849.759785,3895177202.389033,4448510631.285117,14270861807.86756,57698049568.55651,0.6495500977578088
2019-07-21 00:00:00,189205869716.2476,24231568188.708,4030965957.9791503,4714389488.292895,14076729943.490812,53504869068.57155,0.6529645280881582
2019-07-28 00:00:00,168819174250.38428,22136728417.22751,4023250119.378601,4312495180.417267,13251544055.613169,49385455756.83917,0.6445235207424492
2019-08-04 00:00:00,193203677116.9296,23929568244.741936,4045530573.907136,4333379807.167707,13653656538.807177,51613047221.20644,0.6644350880504631
2019-08-11 00:00:00,204001079368.2823,21962297986.85817,4038617665.0578384,4589592939.294889,12626994630.982674,46934716205.32415,0.6935196042451967
2019-08-18 00:00:00,184505748856.97537,19854156617.37269,4059444797.9922686,4310558447.2991085,11374449020.645435,43122883488.08511,0.6904451357909968
2019-08-25 00:00:00,179060450158.83667,20206691661.43111,4043693833.5564055,4092207683.242852,11545011710.563845,42889667569.15913,0.6838604016614475
2019-09-01 00:00:00,172032356634.45023,18159291356.87282,4020650084.584411,3425291472.2198086,11089030429.221382,39864560102.32135,0.6920292046536657
2019-09-08 00:00:00,187110664333.60645,18728580618.20776,4065166265.254194,3509061392.326941,11134181334.03558,40592816460.63909,0.7057039012130161
2019-09-15 00:00:00,185689614237.89267,19888161679.894127,4111198666.949074,3260672725.2974496,11314206288.859274,41383608683.04741,0.6990076722088707
2019-09-22 00:00:00,180333612279.5884,23385400456.80348,4113803201.388,3276281378.343332,12504785189.49957,43431130123.6672,0.6752929422049393
2019-09-29 00:00:00,146227865985.0245,18546925704.76121,4148793770.464122,2432026314.197917,10379647993.101955,34104742379.340294,0.6774826933401765
2019-10-06 00:00:00,145320841894.21075,18824682637.37667,4125331524.589666,2415098950.3011074,10970069767.046034,34745726465.64577,0.6715326519405118
2019-10-13 00:00:00,151081249687.87637,20050809358.766308,4164401806.541413,2676399660.345018,11954792384.054258,36294730923.406624,0.6678439468988494
2019-10-20 00:00:00,144756070807.89767,18882198256.057167,4127290392.060738,2851138574.651321,12734875968.364044,35233962755.50905,0.6622399311371232
2019-10-27 00:00:00,165505204852.13242,19470947488.70636,4122051952.909785,2874047712.581568,12579548364.565413,37987853412.80446,0.6823841061459257
