"Date","Price","Open","High","Low","Vol.","Change %"
"04/27/2020","83.5090","83.5090","83.5090","83.5090","","2.38%"
"04/26/2020","81.5649","81.5649","81.5649","81.5649","","-0.45%"
"04/25/2020","81.9356","81.9356","81.9356","81.9356","","-4.17%"
"04/24/2020","85.5005","85.5005","85.5005","85.5005","","-5.59%"
"04/23/2020","90.5642","90.5642","90.5642","90.5642","","-0.74%"
"04/22/2020","91.2366","91.2366","91.2366","91.2366","","1.45%"
"04/21/2020","89.9342","89.9342","89.9342","89.9342","","0.58%"
"04/20/2020","89.4189","89.4189","89.4189","89.4189","","0.74%"
"04/19/2020","88.7599","88.7599","88.7599","88.7599","","-0.39%"
"04/18/2020","89.1038","89.1038","89.1038","89.1038","","-1.54%"
"04/17/2020","90.4962","90.4962","90.4962","90.4962","","-2.06%"
"04/16/2020","92.3967","92.3967","92.3967","92.3967","","-3.19%"
"04/15/2020","95.4446","95.4446","95.4446","95.4446","","-3.66%"
"04/14/2020","99.0747","99.0747","99.0747","99.0747","","-2.81%"
"04/13/2020","101.9388","101.9388","101.9388","101.9388","","0.50%"
"04/12/2020","101.4276","101.4276","101.4276","101.4276","","0.23%"
"04/11/2020","101.1926","101.1926","101.1926","101.1926","","-1.65%"
"04/10/2020","102.8953","102.8953","102.8953","102.8953","","-0.43%"
"04/09/2020","103.3419","103.3419","103.3419","103.3419","","-1.45%"
"04/08/2020","104.8591","104.8591","104.8591","104.8591","","0.27%"
"04/07/2020","104.5734","104.5734","104.5734","104.5734","","0.68%"
"04/06/2020","103.8716","103.8716","103.8716","103.8716","","0.45%"
"04/05/2020","103.4074","103.4074","103.4074","103.4074","","-0.64%"
"04/04/2020","104.0695","104.0695","104.0695","104.0695","","-2.26%"
"04/03/2020","106.4780","106.4780","106.4780","106.4780","","-2.24%"
"04/02/2020","108.9141","108.9141","108.9141","108.9141","","2.42%"
"04/01/2020","106.3421","106.3421","106.3421","106.3421","","-1.80%"
"03/31/2020","108.2879","108.2879","108.2879","108.2879","","-4.99%"
"03/30/2020","113.9793","113.9793","113.9793","113.9793","","-3.54%"
"03/29/2020","118.1595","118.1595","118.1595","118.1595","","1.58%"
"03/28/2020","116.3201","116.3201","116.3201","116.3201","","2.35%"
"03/27/2020","113.6492","113.6492","113.6492","113.6492","","-12.87%"
"03/26/2020","130.4409","130.4409","130.4409","130.4409","","-0.83%"
"03/25/2020","131.5317","131.5317","131.5317","131.5317","","-2.33%"
"03/24/2020","134.6675","134.6675","134.6675","134.6675","","-3.54%"
"03/23/2020","139.6165","139.6165","139.6165","139.6165","","1.21%"
"03/22/2020","137.9445","137.9445","137.9445","137.9445","","1.94%"
"03/21/2020","135.3228","135.3228","135.3228","135.3228","","-2.90%"
"03/20/2020","139.3578","139.3578","139.3578","139.3578","","4.52%"
"03/19/2020","133.3305","133.3305","133.3305","133.3305","","-7.58%"
"03/18/2020","144.2638","144.2638","144.2638","144.2638","","-5.53%"
"03/17/2020","152.7153","152.7153","152.7153","152.7153","","-10.46%"
"03/16/2020","170.5505","170.5505","170.5505","170.5505","","31.47%"
"03/15/2020","129.7251","129.7251","129.7251","129.7251","","12.38%"
"03/14/2020","115.4331","115.4331","115.4331","115.4331","","-6.75%"
"03/13/2020","123.7927","123.7927","123.7927","123.7927","","44.03%"
"03/12/2020","85.9493","85.9493","85.9493","85.9493","","24.92%"
"03/11/2020","68.8049","68.8049","68.8049","68.8049","","-1.31%"
"03/10/2020","69.7150","69.7150","69.7150","69.7150","","-3.80%"
"03/09/2020","72.4703","72.4703","72.4703","72.4703","","13.33%"
"03/08/2020","63.9462","63.9462","63.9462","63.9462","","2.04%"
"03/07/2020","62.6699","62.6699","62.6699","62.6699","","0.72%"
"03/06/2020","62.2221","62.2221","62.2221","62.2221","","-1.98%"
"03/05/2020","63.4801","63.4801","63.4801","63.4801","","-1.86%"
"03/04/2020","64.6800","64.6800","64.6800","64.6800","","-2.43%"
"03/03/2020","66.2894","66.2894","66.2894","66.2894","","-1.84%"
"03/02/2020","67.5341","67.5341","67.5341","67.5341","","-0.24%"
"03/01/2020","67.6975","67.6975","67.6975","67.6975","","2.10%"
"02/29/2020","66.3079","66.3079","66.3079","66.3079","","-2.96%"
"02/28/2020","68.3333","68.3333","68.3333","68.3333","","-0.56%"
"02/27/2020","68.7165","68.7165","68.7165","68.7165","","1.14%"
"02/26/2020","67.9442","67.9442","67.9442","67.9442","","3.23%"
"02/25/2020","65.8158","65.8158","65.8158","65.8158","","0.12%"
"02/24/2020","65.7376","65.7376","65.7376","65.7376","","-0.16%"
"02/23/2020","65.8436","65.8436","65.8436","65.8436","","-0.45%"
"02/22/2020","66.1439","66.1439","66.1439","66.1439","","-3.93%"
"02/21/2020","68.8517","68.8517","68.8517","68.8517","","-2.88%"
"02/20/2020","70.8954","70.8954","70.8954","70.8954","","1.27%"
"02/19/2020","70.0077","70.0077","70.0077","70.0077","","-0.01%"
"02/18/2020","70.0147","70.0147","70.0147","70.0147","","-0.26%"
"02/17/2020","70.2002","70.2002","70.2002","70.2002","","0.42%"
"02/16/2020","69.9099","69.9099","69.9099","69.9099","","0.73%"
"02/15/2020","69.4022","69.4022","69.4022","69.4022","","1.64%"
"02/14/2020","68.2856","68.2856","68.2856","68.2856","","-0.31%"
"02/13/2020","68.4964","68.4964","68.4964","68.4964","","1.48%"
"02/12/2020","67.4959","67.4959","67.4959","67.4959","","3.20%"
"02/11/2020","65.4049","65.4049","65.4049","65.4049","","-1.53%"
"02/10/2020","66.4205","66.4205","66.4205","66.4205","","-0.59%"
"02/09/2020","66.8120","66.8120","66.8120","66.8120","","0.78%"
"02/08/2020","66.2971","66.2971","66.2971","66.2971","","-0.92%"
"02/07/2020","66.9142","66.9142","66.9142","66.9142","","0.96%"
"02/06/2020","66.2781","66.2781","66.2781","66.2781","","1.42%"
"02/05/2020","65.3523","65.3523","65.3523","65.3523","","2.67%"
"02/04/2020","63.6511","63.6511","63.6511","63.6511","","0.81%"
"02/03/2020","63.1380","63.1380","63.1380","63.1380","","1.22%"
"02/02/2020","62.3783","62.3783","62.3783","62.3783","","1.08%"
"02/01/2020","61.7137","61.7137","61.7137","61.7137","","-3.35%"
"01/31/2020","63.8517","63.8517","63.8517","63.8517","","-1.82%"
"01/30/2020","65.0326","65.0326","65.0326","65.0326","","1.71%"
"01/29/2020","63.9409","63.9409","63.9409","63.9409","","0.09%"
"01/28/2020","63.8849","63.8849","63.8849","63.8849","","2.11%"
"01/27/2020","62.5621","62.5621","62.5621","62.5621","","1.77%"
"01/26/2020","61.4760","61.4760","61.4760","61.4760","","1.65%"
"01/25/2020","60.4779","60.4779","60.4779","60.4779","","-1.24%"
"01/24/2020","61.2361","61.2361","61.2361","61.2361","","0.74%"
"01/23/2020","60.7872","60.7872","60.7872","60.7872","","-3.66%"
"01/22/2020","63.0977","63.0977","63.0977","63.0977","","0.42%"
"01/21/2020","62.8346","62.8346","62.8346","62.8346","","-2.79%"
"01/20/2020","64.6390","64.6390","64.6390","64.6390","","-4.44%"
"01/19/2020","67.6446","67.6446","67.6446","67.6446","","0.62%"
"01/18/2020","67.2260","67.2260","67.2260","67.2260","","0.60%"
"01/17/2020","66.8271","66.8271","66.8271","66.8271","","-1.35%"
"01/16/2020","67.7446","67.7446","67.7446","67.7446","","-0.66%"
"01/15/2020","68.1948","68.1948","68.1948","68.1948","","2.00%"
"01/14/2020","66.8584","66.8584","66.8584","66.8584","","3.95%"
"01/13/2020","64.3193","64.3193","64.3193","64.3193","","-1.06%"
"01/12/2020","65.0093","65.0093","65.0093","65.0093","","0.94%"
"01/11/2020","64.4013","64.4013","64.4013","64.4013","","-0.14%"
"01/10/2020","64.4906","64.4906","64.4906","64.4906","","-3.72%"
"01/09/2020","66.9832","66.9832","66.9832","66.9832","","-4.44%"
"01/08/2020","70.0987","70.0987","70.0987","70.0987","","4.26%"
"01/07/2020","67.2334","67.2334","67.2334","67.2334","","7.14%"
"01/06/2020","62.7503","62.7503","62.7503","62.7503","","1.12%"
