Date,Price,Open,High,Low,Vol.,Change %
2020-01-07,62.7,62.91,63.15,62.11,582.65K,-0.90%
2020-01-08,59.61,62.84,65.65,59.15,1.21M,-4.93%
2020-01-09,59.56,59.99,60.31,58.66,750.93K,-0.08%
2020-01-10,59.04,59.61,59.78,58.85,596.19K,-0.87%
2020-01-13,58.08,59.04,59.27,57.91,584.00K,-1.63%
2020-01-14,58.23,58.03,58.72,57.72,507.71K,0.26%
2020-01-15,57.81,58.2,58.36,57.36,433.17K,-0.72%
2020-01-16,58.52,58.1,58.87,57.56,182.87K,1.23%
2020-01-17,58.54,58.59,58.98,58.27,122.56K,0.03%
2020-01-19,59.27,59.36,59.66,59.2,,1.25%
2020-01-20,58.73,59.28,59.32,58.56,,-0.91%
2020-01-21,58.34,59.17,59.73,57.68,50.18K,-0.66%
2020-01-22,56.74,58.26,58.38,56.03,620.12K,-2.74%
2020-01-23,55.59,56.11,56.27,54.77,704.00K,-2.03%
2020-01-24,54.19,55.69,55.95,53.85,586.20K,-2.52%
2020-01-27,53.14,53.7,53.71,52.13,712.88K,-1.94%
2020-01-28,53.48,52.77,54.06,52.68,633.96K,0.64%
2020-01-29,53.33,53.97,54.37,52.81,624.98K,-0.28%
2020-01-30,52.14,53.09,53.2,51.66,720.12K,-2.23%
2020-01-31,51.56,52.92,53.36,50.97,827.91K,-1.11%
2020-02-03,50.11,51.01,51.97,49.8,876.04K,-2.81%
2020-02-04,49.61,49.94,51.55,49.31,859.36K,-1.00%
2020-02-05,50.75,49.51,51.88,49.47,887.95K,2.30%
2020-02-06,50.95,51.17,52.2,50.24,750.66K,0.39%
2020-02-07,50.32,51.11,51.48,50.09,768.35K,-1.24%
2020-02-10,49.57,50.12,50.49,49.42,715.89K,-1.49%
2020-02-11,49.94,49.61,50.69,49.58,725.73K,0.75%
2020-02-12,51.17,49.96,51.73,49.95,795.26K,2.46%
2020-02-13,51.42,51.72,51.96,50.6,745.40K,0.49%
2020-02-14,52.05,51.51,52.34,51.32,607.34K,1.23%
2020-02-16,52.36,52.45,52.63,52.34,,0.60%
2020-02-17,52.2,52.34,52.59,52.05,,-0.31%
2020-02-18,52.05,52.23,52.41,50.88,221.77K,-0.29%
2020-02-19,53.29,52.12,53.66,51.93,113.68K,2.38%
2020-02-20,53.78,53.5,54.5,53.22,30.67K,0.92%
2020-02-21,53.38,53.74,53.86,52.55,707.56K,-0.74%
2020-02-24,51.43,52.6,52.64,50.45,765.52K,-3.65%
2020-02-25,49.9,51.37,52.02,49.69,764.99K,-2.97%
2020-02-26,48.73,50.08,50.44,48.3,884.48K,-2.34%
2020-02-27,47.09,48.63,48.78,45.88,1.01M,-3.37%
2020-02-28,44.76,46.49,47.03,43.85,1.10M,-4.95%
2020-03-02,46.75,43.7,47.56,43.32,949.47K,4.45%
2020-03-03,47.18,47.72,48.66,46.47,1.01M,0.92%
2020-03-04,46.78,46.94,48.41,46.65,745.86K,-0.85%
2020-03-05,45.9,47.13,47.57,45.65,704.59K,-1.88%
2020-03-06,41.28,46.09,46.38,41.05,1.28M,-10.07%
2020-03-09,31.13,32.87,34.88,27.34,1.77M,-24.59%
2020-03-10,34.36,30.37,35.02,30.2,1.06M,10.38%
2020-03-11,32.98,34.62,36.35,32.56,874.65K,-4.02%
