Date,Open,High,Low,Close,Adj Close,Volume
2022-12-02,104.820000,105.589996,104.379997,104.550003,104.550003,0
2022-12-04,null,null,null,null,null,null
2022-12-05,104.510002,105.400002,104.110001,105.290001,105.290001,0
2022-12-06,105.160004,105.629997,104.889999,105.580002,105.580002,0
2022-12-07,105.629997,105.820000,104.879997,105.099998,105.099998,0
2022-12-08,105.199997,105.430000,104.720001,104.769997,104.769997,0
2022-12-09,104.860001,105.139999,104.480003,104.809998,104.809998,0
2022-12-11,null,null,null,null,null,null
2022-12-12,104.930000,105.250000,104.669998,105.129997,105.129997,0
2022-12-13,104.989998,105.099998,103.589996,103.980003,103.980003,0
2022-12-14,104.070000,104.160004,103.449997,103.769997,103.769997,0
2022-12-15,103.669998,104.879997,103.540001,104.559998,104.559998,0
2022-12-16,104.449997,104.839996,104.209999,104.699997,104.699997,0
2022-12-18,null,null,null,null,null,null
2022-12-19,104.839996,104.930000,104.129997,104.720001,104.720001,0
2022-12-20,104.730003,104.790001,103.779999,103.970001,103.970001,0
2022-12-21,103.949997,104.379997,103.849998,104.160004,104.160004,0
2022-12-22,104.220001,104.599998,103.750000,104.430000,104.430000,0
2022-12-23,104.389999,104.540001,104.120003,104.309998,104.309998,0
2022-12-25,null,null,null,null,null,null
2022-12-27,104.120003,104.400002,103.889999,104.180000,104.180000,0
2022-12-28,104.330002,104.559998,103.849998,104.459999,104.459999,0
2022-12-29,104.370003,104.449997,103.779999,103.839996,103.839996,0
2022-12-30,103.949997,104.099998,103.389999,103.519997,103.519997,0
2023-01-01,null,null,null,null,null,null
2023-01-03,103.660004,104.860001,103.470001,104.519997,104.519997,0
2023-01-04,104.580002,104.599998,103.830002,104.250000,104.250000,0
2023-01-05,104.070000,105.269997,103.989998,105.040001,105.040001,0
2023-01-06,105.050003,105.629997,103.870003,103.879997,103.879997,0
2023-01-08,null,null,null,null,null,null
2023-01-09,103.910004,103.940002,102.940002,103.000000,103.000000,0
2023-01-10,103.290001,103.489998,103.029999,103.239998,103.239998,0
2023-01-11,103.220001,103.480003,103.110001,103.190002,103.190002,0
2023-01-12,103.059998,103.290001,102.080002,102.250000,102.250000,0
2023-01-13,102.209999,102.650002,101.989998,102.199997,102.199997,0
2023-01-15,null,null,null,null,null,null
2023-01-17,102.320000,102.559998,101.940002,102.389999,102.389999,0
2023-01-18,102.470001,102.900002,101.529999,102.360001,102.360001,0
2023-01-19,102.379997,102.480003,101.989998,102.059998,102.059998,0
2023-01-20,102.080002,102.550003,101.940002,102.010002,102.010002,0
2023-01-22,null,null,null,null,null,null
2023-01-23,101.989998,102.279999,101.589996,102.139999,102.139999,0
2023-01-24,101.989998,102.430000,101.720001,101.919998,101.919998,0
2023-01-25,102.010002,102.120003,101.580002,101.639999,101.639999,0
2023-01-26,101.580002,102.180000,101.500000,101.839996,101.839996,0
2023-01-27,101.720001,102.190002,101.680000,101.930000,101.930000,0
2023-01-29,null,null,null,null,null,null
2023-01-30,101.919998,102.309998,101.660004,102.279999,102.279999,0
2023-01-31,102.190002,102.610001,102.010002,102.099998,102.099998,0
2023-02-01,102.099998,102.190002,101.040001,101.220001,101.220001,0
2023-02-02,100.849998,101.910004,100.820000,101.750000,101.750000,0
2023-02-03,101.830002,103.010002,101.550003,102.919998,102.919998,0
2023-02-05,null,null,null,null,null,null
2023-02-06,103.010002,103.769997,103.010002,103.620003,103.620003,0
2023-02-07,103.540001,103.959999,103.000000,103.430000,103.430000,0
2023-02-08,103.269997,103.519997,103.000000,103.410004,103.410004,0
2023-02-09,103.430000,103.550003,102.639999,103.220001,103.220001,0
2023-02-10,103.260002,103.680000,102.900002,103.629997,103.629997,0
2023-02-12,null,null,null,null,null,null
2023-02-13,103.580002,103.839996,103.239998,103.349998,103.349998,0
2023-02-14,103.220001,103.519997,102.589996,103.230003,103.230003,0
2023-02-15,103.209999,104.110001,103.160004,103.919998,103.919998,0
2023-02-16,103.879997,104.230003,103.529999,103.860001,103.860001,0
2023-02-17,104.199997,104.669998,103.839996,103.860001,103.860001,0
2023-02-19,null,null,null,null,null,null
2023-02-21,103.910004,104.260002,103.769997,104.180000,104.180000,0
2023-02-22,104.129997,104.599998,104.010002,104.589996,104.589996,0
2023-02-23,104.500000,104.779999,104.309998,104.599998,104.599998,0
2023-02-24,104.559998,105.320000,104.419998,105.209999,105.209999,0
2023-02-26,null,null,null,null,null,null
2023-02-27,105.260002,105.360001,104.550003,104.669998,104.669998,0
2023-02-28,104.629997,105.000000,104.419998,104.870003,104.870003,0
2023-03-01,105.040001,105.089996,104.089996,104.480003,104.480003,0
2023-03-02,104.389999,105.180000,104.389999,105.029999,105.029999,0
2023-03-03,104.940002,105.000000,104.489998,104.519997,104.519997,0
2023-03-05,null,null,null,null,null,null
2023-03-06,104.529999,104.690002,104.160004,104.349998,104.349998,0
