Date,GoogleTrend
2018.8.7,12
2018.8.8,14
2018.8.9,13
2018.8.10,12
2018.8.11,12
2018.8.12,11
2018.8.13,12
2018.8.14,14
2018.8.15,13
2018.8.16,11
2018.8.17,10
2018.8.18,10
2018.8.19,10
2018.8.20,11
2018.8.21,11
2018.8.22,12
2018.8.23,11
2018.8.24,10
2018.8.25,10
2018.8.26,9
2018.8.27,10
2018.8.28,12
2018.8.29,11
2018.8.30,11
2018.8.31,11
2018.9.1,46
2018.9.2,49
2018.9.3,49
2018.9.4,50
2018.9.5,61
2018.9.6,69
2018.9.7,54
2018.9.8,48
2018.9.9,44
2018.9.10,51
2018.9.11,51
2018.9.12,52
2018.9.13,50
2018.9.14,49
2018.9.15,44
2018.9.16,40
2018.9.17,46
2018.9.18,45
2018.9.19,46
2018.9.20,45
2018.9.21,51
2018.9.22,44
2018.9.23,43
2018.9.24,46
2018.9.25,46
2018.9.26,45
2018.9.27,45
2018.9.28,45
2018.9.29,39
2018.9.30,40
2018.10.1,40
2018.10.2,42
2018.10.3,41
2018.10.4,41
2018.10.5,42
2018.10.6,38
2018.10.7,34
2018.10.8,41
2018.10.9,41
2018.10.10,44
2018.10.11,54
2018.10.12,46
2018.10.13,39
2018.10.14,39
2018.10.15,49
2018.10.16,45
2018.10.17,43
2018.10.18,42
2018.10.19,41
2018.10.20,39
2018.10.21,36
2018.10.22,42
2018.10.23,43
2018.10.24,41
2018.10.25,42
2018.10.26,38
2018.10.27,34
2018.10.28,35
2018.10.29,40
2018.10.30,41
2018.10.31,42
2018.11.1,40
2018.11.2,39
2018.11.3,35
2018.11.4,36
2018.11.5,41
2018.11.6,41
2018.11.7,44
2018.11.8,39
2018.11.9,39
2018.11.10,35
2018.11.11,33
2018.11.12,39
2018.11.13,39
2018.11.14,60
2018.11.15,69
2018.11.16,52
2018.11.17,43
2018.11.18,42
2018.11.19,72
2018.11.20,100
2018.11.21,77
2018.11.22,61
2018.11.23,63
2018.11.24,58
2018.11.25,87
2018.11.26,75
2018.11.27,77
2018.11.28,71
2018.11.29,61
2018.11.30,58
2018.12.1,50
2018.12.2,45
2018.12.3,56
2018.12.4,56
2018.12.5,53
2018.12.6,61
2018.12.7,76
2018.12.8,56
2018.12.9,52
2018.12.10,55
2018.12.11,54
2018.12.12,53
2018.12.13,52
2018.12.14,57
2018.12.15,50
2018.12.16,47
2018.12.17,57
2018.12.18,59
2018.12.19,64
2018.12.20,64
2018.12.21,57
2018.12.22,48
2018.12.23,49
2018.12.24,56
2018.12.25,58
2018.12.26,50
2018.12.27,49
2018.12.28,49
2018.12.29,46
2018.12.30,43
2018.12.31,43
2019.1.1,42
2019.1.2,46
2019.1.3,49
2019.1.4,46
2019.1.5,40
2019.1.6,43
2019.1.7,45
2019.1.8,44
2019.1.9,45
2019.1.10,51
2019.1.11,46
2019.1.12,38
2019.1.13,39
2019.1.14,46
2019.1.15,43
2019.1.16,41
2019.1.17,39
2019.1.18,37
2019.1.19,37
2019.1.20,35
2019.1.21,36
2019.1.22,39
2019.1.23,36
2019.1.24,36
2019.1.25,35
2019.1.26,34
2019.1.27,33
2019.1.28,41
2019.1.29,40
2019.1.30,38
2019.1.31,34
2019.2.1,36
2019.2.2,33
2019.2.3,32
2019.2.4,37
2019.2.5,44
2019.2.6,41
2019.2.7,40
2019.2.8,42
2019.2.9,38
2019.2.10,35
2019.2.11,38
2019.2.12,37
2019.2.13,37
2019.2.14,36
2019.2.15,35
2019.2.16,31
2019.2.17,32
2019.2.18,43
2019.2.19,48
2019.2.20,45
2019.2.21,42
2019.2.22,40
2019.2.23,40
2019.2.24,50
2019.2.25,44
2019.2.26,38
2019.2.27,35
2019.2.28,36
2019.3.1,5
2019.3.2,5
2019.3.3,5
2019.3.4,6
2019.3.5,6
2019.3.6,6
2019.3.7,6
2019.3.8,6
2019.3.9,6
2019.3.10,5
2019.3.11,6
2019.3.12,6
2019.3.13,6
2019.3.14,5
2019.3.15,5
2019.3.16,6
2019.3.17,5
2019.3.18,6
2019.3.19,6
2019.3.20,6
2019.3.21,6
2019.3.22,6
2019.3.23,5
2019.3.24,5
2019.3.25,6
2019.3.26,6
2019.3.27,6
2019.3.28,6
2019.3.29,6
2019.3.30,5
2019.3.31,5
2019.4.1,6
2019.4.2,14
2019.4.3,14
2019.4.4,11
2019.4.5,9
2019.4.6,8
2019.4.7,8
2019.4.8,9
2019.4.9,8
2019.4.10,8
2019.4.11,8
2019.4.12,8
2019.4.13,7
2019.4.14,6
2019.4.15,7
2019.4.16,7
2019.4.17,7
2019.4.18,7
2019.4.19,7
2019.4.20,7
2019.4.21,6
2019.4.22,7
2019.4.23,9
2019.4.24,8
2019.4.25,8
2019.4.26,8
2019.4.27,7
2019.4.28,6
2019.4.29,6
2019.4.30,6
2019.5.1,6
2019.5.2,7
2019.5.3,8
2019.5.4,8
2019.5.5,7
2019.5.6,7
2019.5.7,9
2019.5.8,9
2019.5.9,10
2019.5.10,11
2019.5.11,14
2019.5.12,16
2019.5.13,16
2019.5.14,19
2019.5.15,16
2019.5.16,15
2019.5.17,15
2019.5.18,11
2019.5.19,13
2019.5.20,12
2019.5.21,11
2019.5.22,11
2019.5.23,10
2019.5.24,11
2019.5.25,9
2019.5.26,10
2019.5.27,15
2019.5.28,13
2019.5.29,12
2019.5.30,12
2019.5.31,11
2019.6.1,10
2019.6.2,10
2019.6.3,10
2019.6.4,11
2019.6.5,10
2019.6.6,10
2019.6.7,10
2019.6.8,8
2019.6.9,8
2019.6.10,8
2019.6.11,9
2019.6.12,9
2019.6.13,9
2019.6.14,9
2019.6.15,9
2019.6.16,12
2019.6.17,13
2019.6.18,12
2019.6.19,11
2019.6.20,11
2019.6.21,15
2019.6.22,22
2019.6.23,16
2019.6.24,16
2019.6.25,19
2019.6.26,31
2019.6.27,26
2019.6.28,20
2019.6.29,16
2019.6.30,15
2019.7.1,16
2019.7.2,16
2019.7.3,15
2019.7.4,14
2019.7.5,13
2019.7.6,12
2019.7.7,11
2019.7.8,13
2019.7.9,15
2019.7.10,16
2019.7.11,15
2019.7.12,14
2019.7.13,11
2019.7.14,12
2019.7.15,15
2019.7.16,15
2019.7.17,15
2019.7.18,13
2019.7.19,12
2019.7.20,11
2019.7.21,10
2019.7.22,11
2019.7.23,11
2019.7.24,11
2019.7.25,11
2019.7.26,10
2019.7.27,10
2019.7.28,9
2019.7.29,10
2019.7.30,10
2019.7.31,10
2019.8.1,11
2019.8.2,11
2019.8.3,10
2019.8.4,9
2019.8.5,15
2019.8.6,14
2019.8.7,12
2019.8.8,12
2019.8.9,11
2019.8.10,10
2019.8.11,10
2019.8.12,10
2019.8.13,10
2019.8.14,11
2019.8.15,13
2019.8.16,10
2019.8.17,9
2019.8.18,9
2019.8.19,10
2019.8.20,9
2019.8.21,11
2019.8.22,9
2019.8.23,10
2019.8.24,8
2019.8.25,8
2019.8.26,9
2019.8.27,9
2019.8.28,10
2019.8.29,10
2019.8.30,66
2019.8.31,100
2019.9.1,100
2019.9.2,83
2019.9.3,80
2019.9.4,87
2019.9.5,94
2019.9.6,75
2019.9.7,46
2019.9.8,47
2019.9.9,44
2019.9.10,45
2019.9.11,46
2019.9.12,45
2019.9.13,44
2019.9.14,47
2019.9.15,46
2019.9.16,44
2019.9.17,43
2019.9.18,42
2019.9.19,42
2019.9.20,39
2019.9.21,39
2019.9.22,40
2019.9.23,35
2019.9.24,33
2019.9.25,33
2019.9.26,30
2019.9.27,13
2019.9.28,9
2019.9.29,8
2019.9.30,9
2019.10.1,9
2019.10.2,8
2019.10.3,8
2019.10.4,8
2019.10.5,7
2019.10.6,7
2019.10.7,9
2019.10.8,8
2019.10.9,8
2019.10.10,8
2019.10.11,8
2019.10.12,7
2019.10.13,7
2019.10.14,7
2019.10.15,7
2019.10.16,8
2019.10.17,7
2019.10.18,8
2019.10.19,7
2019.10.20,7
2019.10.21,7
2019.10.22,7
2019.10.23,9
2019.10.24,9
2019.10.25,10
2019.10.26,14
2019.10.27,10
2019.10.28,11
2019.10.29,9
2019.10.30,9
2019.10.31,8
2019.11.1,8
2019.11.2,7
2019.11.3,7
2019.11.4,8
2019.11.5,8
2019.11.6,7
2019.11.7,8
2019.11.8,8
2019.11.9,7
2019.11.10,7
2019.11.11,8
2019.11.12,7
2019.11.13,7
2019.11.14,7
2019.11.15,7
2019.11.16,7
2019.11.17,6
2019.11.18,7
2019.11.19,8
2019.11.20,7
2019.11.21,9
2019.11.22,11
2019.11.23,8
2019.11.24,8
2019.11.25,10
2019.11.26,9
2019.11.27,9
2019.11.28,8
2019.11.29,8
2019.11.30,7
2019.12.1,7
2019.12.2,8
2019.12.3,7
2019.12.4,7
2019.12.5,7
2019.12.6,7
2019.12.7,6
2019.12.8,6
2019.12.9,7
2019.12.10,7
2019.12.11,7
2019.12.12,7
2019.12.13,7
2019.12.14,7
2019.12.15,7
2019.12.16,7
2019.12.17,8
2019.12.18,9
2019.12.19,8
2019.12.20,8
2019.12.21,7
2019.12.22,7
2019.12.23,8
2019.12.24,7
2019.12.25,7
2019.12.26,7
2019.12.27,7
2019.12.28,7
2019.12.29,7
2019.12.30,7
2019.12.31,7
2020.1.1,7
2020.1.2,7
2020.1.3,8
2020.1.4,8
2020.1.5,8
2020.1.6,8
2020.1.7,10
2020.1.8,11
2020.1.9,8
2020.1.10,9
2020.1.11,8
2020.1.12,7
2020.1.13,7
2020.1.14,11
2020.1.15,10
2020.1.16,9
2020.1.17,9
2020.1.18,9
2020.1.19,9
2020.1.20,9
2020.1.21,8
2020.1.22,8
2020.1.23,8
2020.1.24,8
2020.1.25,7
2020.1.26,7
2020.1.27,8
2020.1.28,9
2020.1.29,10
2020.1.30,9
2020.1.31,9
2020.2.1,8
2020.2.2,8
2020.2.3,8
2020.2.4,8
2020.2.5,9
2020.2.6,10
2020.2.7,9
2020.2.8,9
2020.2.9,12
2020.2.10,10
2020.2.11,11
2020.2.12,12
2020.2.13,11
2020.2.14,9
2020.2.15,9
2020.2.16,9
2020.2.17,10
2020.2.18,9
2020.2.19,10
2020.2.20,10
2020.2.21,9
2020.2.22,8
2020.2.23,8
2020.2.24,9
2020.2.25,9
2020.2.26,10
2020.2.27,9
2020.2.28,10
2020.2.29,8
2020.3.1,29
2020.3.2,31
2020.3.3,28
2020.3.4,31
2020.3.5,31
2020.3.6,29
2020.3.7,26
2020.3.8,29
2020.3.9,51
2020.3.10,42
2020.3.11,33
2020.3.12,73
2020.3.13,100
2020.3.14,62
2020.3.15,53
2020.3.16,69
2020.3.17,54
2020.3.18,53
2020.3.19,57
2020.3.20,57
2020.3.21,52
2020.3.22,44
2020.3.23,46
2020.3.24,47
2020.3.25,43
2020.3.26,40
2020.3.27,37
2020.3.28,38
2020.3.29,38
2020.3.30,39
2020.3.31,33
2020.4.1,33
2020.4.2,41
2020.4.3,37
2020.4.4,35
2020.4.5,33
2020.4.6,40
2020.4.7,40
2020.4.8,36
2020.4.9,35
2020.4.10,40
2020.4.11,34
2020.4.12,35
2020.4.13,36
2020.4.14,33
2020.4.15,33
2020.4.16,37
2020.4.17,33
2020.4.18,34
2020.4.19,33
2020.4.20,34
2020.4.21,34
2020.4.22,34
2020.4.23,39
2020.4.24,38
2020.4.25,35
2020.4.26,37
2020.4.27,39
2020.4.28,36
2020.4.29,52
2020.4.30,61
2020.5.1,46
2020.5.2,44
2020.5.3,45
2020.5.4,43
2020.5.5,42
2020.5.6,48
2020.5.7,57
2020.5.8,65
2020.5.9,56
2020.5.10,70
2020.5.11,84
2020.5.12,61
2020.5.13,51
2020.5.14,53
2020.5.15,45
2020.5.16,44
2020.5.17,44
2020.5.18,44
2020.5.19,41
2020.5.20,40
2020.5.21,42
2020.5.22,37
2020.5.23,36
2020.5.24,39
2020.5.25,41
2020.5.26,37
2020.5.27,36
2020.5.28,37
2020.5.29,37
2020.5.30,33
2020.5.31,34
2020.6.1,33
2020.6.2,46
2020.6.3,38
2020.6.4,35
2020.6.5,35
2020.6.6,31
2020.6.7,33
2020.6.8,32
2020.6.9,32
2020.6.10,33
2020.6.11,36
2020.6.12,33
2020.6.13,30
2020.6.14,30
2020.6.15,32
2020.6.16,32
2020.6.17,31
2020.6.18,30
2020.6.19,29
2020.6.20,27
2020.6.21,26
2020.6.22,31
2020.6.23,31
2020.6.24,30
2020.6.25,30
2020.6.26,30
2020.6.27,28
2020.6.28,31
2020.6.29,29
2020.6.30,28
2020.7.1,28
2020.7.2,29
2020.7.3,28
2020.7.4,27
2020.7.5,27
2020.7.6,28
2020.7.7,28
2020.7.8,31
2020.7.9,29
2020.7.10,28
2020.7.11,26
2020.7.12,25
2020.7.13,30
2020.7.14,29
2020.7.15,33
2020.7.16,40
2020.7.17,29
2020.7.18,38
2020.7.19,27
2020.7.20,26
2020.7.21,28
2020.7.22,28
2020.7.23,32
2020.7.24,32
2020.7.25,31
2020.7.26,39
2020.7.27,56
2020.7.28,58
2020.7.29,47
2020.7.30,43
2020.7.31,43
2020.8.1,56
2020.8.2,55
2020.8.3,47
2020.8.4,39
2020.8.5,37
2020.8.6,44
2020.8.7,41
2020.8.8,36
2020.8.9,38
2020.8.10,42
2020.8.11,41
2020.8.12,38
2020.8.13,38
2020.8.14,36
2020.8.15,36
2020.8.16,35
2020.8.17,45
2020.8.18,42
2020.8.19,36
2020.8.20,37
2020.8.21,34
2020.8.22,33
2020.8.23,33
2020.8.24,34
2020.8.25,33
2020.8.26,33
2020.8.27,32
2020.8.28,31
2020.8.29,29
2020.8.30,30
2020.8.31,30
2020.9.1,14
2020.9.2,14
2020.9.3,14
2020.9.4,16
2020.9.5,14
2020.9.6,13
2020.9.7,13
2020.9.8,13
2020.9.9,12
2020.9.10,12
2020.9.11,11
2020.9.12,11
2020.9.13,11
2020.9.14,11
2020.9.15,12
2020.9.16,11
2020.9.17,11
2020.9.18,10
2020.9.19,10
2020.9.20,10
2020.9.21,11
2020.9.22,10
2020.9.23,10
2020.9.24,10
2020.9.25,10
2020.9.26,10
2020.9.27,9
2020.9.28,10
2020.9.29,10
2020.9.30,10
2020.10.1,10
2020.10.2,10
2020.10.3,9
2020.10.4,9
2020.10.5,9
2020.10.6,9
2020.10.7,9
2020.10.8,10
2020.10.9,10
2020.10.10,11
2020.10.11,10
2020.10.12,11
2020.10.13,11
2020.10.14,11
2020.10.15,10
2020.10.16,11
2020.10.17,10
2020.10.18,10
2020.10.19,11
2020.10.20,13
2020.10.21,19
2020.10.22,20
2020.10.23,15
2020.10.24,13
2020.10.25,14
2020.10.26,15
2020.10.27,17
2020.10.28,19
2020.10.29,15
2020.10.30,15
2020.10.31,16
2020.11.1,15
2020.11.2,15
2020.11.3,14
2020.11.4,14
2020.11.5,21
2020.11.6,24
2020.11.7,17
2020.11.8,16
2020.11.9,18
2020.11.10,15
2020.11.11,16
2020.11.12,18
2020.11.13,20
2020.11.14,16
2020.11.15,15
2020.11.16,18
2020.11.17,26
2020.11.18,33
2020.11.19,25
2020.11.20,26
2020.11.21,26
2020.11.22,22
2020.11.23,23
2020.11.24,31
2020.11.25,29
2020.11.26,33
2020.11.27,24
2020.11.28,21
2020.11.29,20
2020.11.30,26
2020.12.1,29
2020.12.2,22
2020.12.3,21
2020.12.4,21
2020.12.5,19
2020.12.6,18
2020.12.7,19
2020.12.8,18
2020.12.9,20
2020.12.10,17
2020.12.11,19
2020.12.12,18
2020.12.13,17
2020.12.14,16
2020.12.15,17
2020.12.16,32
2020.12.17,55
2020.12.18,35
2020.12.19,30
2020.12.20,30
2020.12.21,33
2020.12.22,27
2020.12.23,27
2020.12.24,23
2020.12.25,27
2020.12.26,38
2020.12.27,55
2020.12.28,37
2020.12.29,36
2020.12.30,40
2020.12.31,40
2021.1.1,40
2021.1.2,69
2021.1.3,77
2021.1.4,67
2021.1.5,52
2021.1.6,60
2021.1.7,89
2021.1.8,85
2021.1.9,65
2021.1.10,65
2021.1.11,100
2021.1.12,75
2021.1.13,66
2021.1.14,67
2021.1.15,60
2021.1.16,49
2021.1.17,45
2021.1.18,42
2021.1.19,41
2021.1.20,40
2021.1.21,50
2021.1.22,55
2021.1.23,38
2021.1.24,35
2021.1.25,37
2021.1.26,36
2021.1.27,38
2021.1.28,38
2021.1.29,60
2021.1.30,44
2021.1.31,37
2021.2.1,37
2021.2.2,36
2021.2.3,37
2021.2.4,39
2021.2.5,35
2021.2.6,43
2021.2.7,36
2021.2.8,81
2021.2.9,96
2021.2.10,63
2021.2.11,59
2021.2.12,60
2021.2.13,47
2021.2.14,50
2021.2.15,52
2021.2.16,59
2021.2.17,66
2021.2.18,59
2021.2.19,68
2021.2.20,77
2021.2.21,65
2021.2.22,74
2021.2.23,98
2021.2.24,70
2021.2.25,55
2021.2.26,59
2021.2.27,51
2021.2.28,53
2021.3.1,35
2021.3.2,34
2021.3.3,33
2021.3.4,32
2021.3.5,31
2021.3.6,27
2021.3.7,28
2021.3.8,29
2021.3.9,35
2021.3.10,34
2021.3.11,33
2021.3.12,32
2021.3.13,43
2021.3.14,41
2021.3.15,36
2021.3.16,33
2021.3.17,32
2021.3.18,31
2021.3.19,27
2021.3.20,29
2021.3.21,27
2021.3.22,28
2021.3.23,30
2021.3.24,33
2021.3.25,35
2021.3.26,29
2021.3.27,27
2021.3.28,25
2021.3.29,28
2021.3.30,30
2021.3.31,29
2021.4.1,32
2021.4.2,30
2021.4.3,28
2021.4.4,27
2021.4.5,27
2021.4.6,26
2021.4.7,27
2021.4.8,25
2021.4.9,25
2021.4.10,27
2021.4.11,27
2021.4.12,27
2021.4.13,36
2021.4.14,41
2021.4.15,33
2021.4.16,36
2021.4.17,30
2021.4.18,55
2021.4.19,43
2021.4.20,38
2021.4.21,31
2021.4.22,37
2021.4.23,57
2021.4.24,41
2021.4.25,36
2021.4.26,39
2021.4.27,33
2021.4.28,30
2021.4.29,28
2021.4.30,28
2021.5.1,27
2021.5.2,25
2021.5.3,29
2021.5.4,29
2021.5.5,29
2021.5.6,27
2021.5.7,27
2021.5.8,26
2021.5.9,28
2021.5.10,29
2021.5.11,27
2021.5.12,27
2021.5.13,65
2021.5.14,41
2021.5.15,34
2021.5.16,37
2021.5.17,52
2021.5.18,40
2021.5.19,100
2021.5.20,77
2021.5.21,59
2021.5.22,53
2021.5.23,62
2021.5.24,56
2021.5.25,45
2021.5.26,38
2021.5.27,35
2021.5.28,37
2021.5.29,37
2021.5.30,35
2021.5.31,33
2021.6.1,31
2021.6.2,30
2021.6.3,30
2021.6.4,34
2021.6.5,29
2021.6.6,30
2021.6.7,31
2021.6.8,42
2021.6.9,39
2021.6.10,34
2021.6.11,27
2021.6.12,25
2021.6.13,26
2021.6.14,32
2021.6.15,27
2021.6.16,25
2021.6.17,22
2021.6.18,24
2021.6.19,21
2021.6.20,25
2021.6.21,33
2021.6.22,43
2021.6.23,31
2021.6.24,28
2021.6.25,27
2021.6.26,26
2021.6.27,25
2021.6.28,26
2021.6.29,25
2021.6.30,22
2021.7.1,21
2021.7.2,21
2021.7.3,20
2021.7.4,21
2021.7.5,21
2021.7.6,20
2021.7.7,18
2021.7.8,19
2021.7.9,19
2021.7.10,18
2021.7.11,16
2021.7.12,17
2021.7.13,18
2021.7.14,19
2021.7.15,19
2021.7.16,18
2021.7.17,18
2021.7.18,18
2021.7.19,20
2021.7.20,26
2021.7.21,24
2021.7.22,21
2021.7.23,19
2021.7.24,20
2021.7.25,19
2021.7.26,36
2021.7.27,27
2021.7.28,25
2021.7.29,21
2021.7.30,21
2021.7.31,22
2021.8.1,20
2021.8.2,20
2021.8.3,20
2021.8.4,19
2021.8.5,19
2021.8.6,21
2021.8.7,24
2021.8.8,23
2021.8.9,26
2021.8.10,23
2021.8.11,24
2021.8.12,23
2021.8.13,23
2021.8.14,21
2021.8.15,21
2021.8.16,22
2021.8.17,20
2021.8.18,21
2021.8.19,19
2021.8.20,22
2021.8.21,22
2021.8.22,20
2021.8.23,26
2021.8.24,22
2021.8.25,21
2021.8.26,20
2021.8.27,19
2021.8.28,17
2021.8.29,17
2021.8.30,18
2021.8.31,18
2021.9.1,32
2021.9.2,36
2021.9.3,36
2021.9.4,33
2021.9.5,34
2021.9.6,40
2021.9.7,66
2021.9.8,60
2021.9.9,42
2021.9.10,36
2021.9.11,34
2021.9.12,34
2021.9.13,38
2021.9.14,33
2021.9.15,34
2021.9.16,33
2021.9.17,32
2021.9.18,31
2021.9.19,28
2021.9.20,44
2021.9.21,44
2021.9.22,39
2021.9.23,36
2021.9.24,51
2021.9.25,40
2021.9.26,35
2021.9.27,35
2021.9.28,34
2021.9.29,33
2021.9.30,32
2021.10.1,38
2021.10.2,36
2021.10.3,32
2021.10.4,37
2021.10.5,41
2021.10.6,53
2021.10.7,46
2021.10.8,42
2021.10.9,37
2021.10.10,37
2021.10.11,45
2021.10.12,44
2021.10.13,39
2021.10.14,42
2021.10.15,60
2021.10.16,54
2021.10.17,44
2021.10.18,50
2021.10.19,58
2021.10.20,74
2021.10.21,73
2021.10.22,53
2021.10.23,44
2021.10.24,40
2021.10.25,46
2021.10.26,46
2021.10.27,51
2021.10.28,46
2021.10.29,42
2021.10.30,38
2021.10.31,37
2021.11.1,39
2021.11.2,41
2021.11.3,39
2021.11.4,38
2021.11.5,36
2021.11.6,32
2021.11.7,34
2021.11.8,50
2021.11.9,54
2021.11.10,52
2021.11.11,44
2021.11.12,42
2021.11.13,37
2021.11.14,39
2021.11.15,40
2021.11.16,52
2021.11.17,46
2021.11.18,50
2021.11.19,48
2021.11.20,39
2021.11.21,36
2021.11.22,40
2021.11.23,44
2021.11.24,43
2021.11.25,40
2021.11.26,49
2021.11.27,40
2021.11.28,39
2021.11.29,42
2021.11.30,40
2021.12.1,38
2021.12.2,36
2021.12.3,41
2021.12.4,87
2021.12.5,61
2021.12.6,55
2021.12.7,49
2021.12.8,46
2021.12.9,45
2021.12.10,45
2021.12.11,39
2021.12.12,38
2021.12.13,47
2021.12.14,49
2021.12.15,45
2021.12.16,40
2021.12.17,40
2021.12.18,36
2021.12.19,36
2021.12.20,41
2021.12.21,41
2021.12.22,38
2021.12.23,39
2021.12.24,41
2021.12.25,37
2021.12.26,37
2021.12.27,36
2021.12.28,41
2021.12.29,39
2021.12.30,38
2021.12.31,36
2022.1.1,38
2022.1.2,37
2022.1.3,37
2022.1.4,67
2022.1.5,36
2022.1.6,51
2022.1.7,64
2022.1.8,55
2022.1.9,51
2022.1.10,55
2022.1.11,50
2022.1.12,51
2022.1.13,37
2022.1.14,35
2022.1.15,38
2022.1.16,46
2022.1.17,34
2022.1.18,35
2022.1.19,35
2022.1.20,37
2022.1.21,72
2022.1.22,100
2022.1.23,71
2022.1.24,75
2022.1.25,59
2022.1.26,57
2022.1.27,52
2022.1.28,53
2022.1.29,49
2022.1.30,47
2022.1.31,47
2022.2.1,49
2022.2.2,46
2022.2.3,46
2022.2.4,50
2022.2.5,52
2022.2.6,42
2022.2.7,52
2022.2.8,49
2022.2.9,46
2022.2.10,37
2022.2.11,42
2022.2.12,38
2022.2.13,38
2022.2.14,39
2022.2.15,40
2022.2.16,38
2022.2.17,40
2022.2.18,41
2022.2.19,37
2022.2.20,40
2022.2.21,44
2022.2.22,48
2022.2.23,41
2022.2.24,80
2022.2.25,56
2022.2.26,41
2022.2.27,44
2022.2.28,53
2022.3.1,54
2022.3.2,47
2022.3.3,42
2022.3.4,41
2022.3.5,37
2022.3.6,34
2022.3.7,41
2022.3.8,37
2022.3.9,44
2022.3.10,38
2022.3.11,37
2022.3.12,32
2022.3.13,32
2022.3.14,35
2022.3.15,33
2022.3.16,33
2022.3.17,34
2022.3.18,35
2022.3.19,31
2022.3.20,30
2022.3.21,30
2022.3.22,33
2022.3.23,31
2022.3.24,34
2022.3.25,35
2022.3.26,30
2022.3.27,33
2022.3.28,41
2022.3.29,36
2022.3.30,35
2022.3.31,33
2022.4.1,32
2022.4.2,30
